시설번호,시도명,시군구명,위도,경도,주소,상세위치,출수압력
동부-대인-대인-22,광주광역시,동구,35.150472869,126.9132861,광주광역시 동구 충장로 45-1,백조주단 앞 사거리,
동부-대인-대인-23,광주광역시,동구,35.152216536,126.910646438,광주광역시 동구 충장로 13-2,송월타월 옆 삼일상사 앞,
동부-대인-대인-24,광주광역시,동구,35.1454951128,126.9143831,광주광역시 동구 천변우로405-16,호텔 이끌림 주차장 앞,
동부-대인-대인-135,광주광역시,동구,35.1486618891,126.9165296431,광주광역시 동구 금남로226-11,디자인호텔 앞,2.2
동부-대인-대인-152,광주광역시,동구,35.1483580939,126.9187300534,광주광역시 동구 금남로245,전일빌딩245 앞,3.3
동부-대인-대인-153,광주광역시,동구,35.1486181927,126.9181438824,광주광역시 동구 금남로239,한국투자증권 앞,3.5
동부-대인-대인-154,광주광역시,동구,35.14874411,126.9184298198,광주광역시 동구 중앙로196번길32,산수모밀(고피자) 사거리,2.2
동부-대인-대인-155,광주광역시,동구,35.14971611,126.9170065596,광주광역시 동구 중앙로196번길 14,커피스토리 사거리(금남맨션),2.4
동부-대인-대인-156,광주광역시,동구,35.1479098304,126.9183171,광주광역시 동구 금남로246,YMCA 앞,2.5
동부-대인-대인-157,광주광역시,동구,35.148727237,126.9169220142,광주광역시 동구 금남로230,흥국생명 앞,2.5
동부-대인-대인-158,광주광역시,동구,35.1495632252,126.9167281,광주광역시 동구 금남로221,5.18기록기념관 앞,3.4
동부-대인-대인-159,광주광역시,동구,35.15012711,126.9159907231,광주광역시 동구 금남로211,SK브로드밴드 앞,3.8
동부-대인-대인-160,광주광역시,동구,35.1505004146,126.9161664867,광주광역시 동구 중앙로196,광주빌딩 앞,2.5
동부-대인-대인-161,광주광역시,동구,35.1493507823,126.9161134528,광주광역시 동구 금남로220,금남공원 앞,3.3
동부-대인-대인-162,광주광역시,동구,35.1491364134,126.9163376576,광주광역시 동구 금남로224,SC제일은행 앞,3.7
동부-대인-대인-164,광주광역시,동구,35.1500954507,126.9148985912,광주광역시 동구 중앙로185,금남로4가역 1번 출구(오르세이) 앞,2.1
동부-대인-대인-165,광주광역시,동구,35.1508709667,126.9139841567,광주광역시 동구 금남로194,금광기업 앞,3.3
동부-대인-대인-166,광주광역시,동구,35.1511223696,126.9143281,광주광역시 동구 금남로195,밀알신협 앞,3.3
동부-대인-대인-167,광주광역시,동구,35.1499927762,126.9148850899,광주광역시 동구 중앙로183,전자담배 앞,3.3
동부-대인-대인-168,광주광역시,동구,35.1506028915,126.9151195276,광주광역시 동구 금남로203,지산빌딩 앞,3.3
동부-대인-대인-169,광주광역시,동구,35.1516053883,126.9127411,광주광역시 동구 금남로 180,십자당약국 앞,3.3
동부-대인-대인-170,광주광역시,동구,35.1538469767,126.9106058043,광주광역시 동구 금남로147,대신빌딩 앞,3.3
동부-대인-대인-171,광주광역시,동구,35.1517691828,126.9137449524,광주광역시 동구 금남로185,아모레퍼시픽 주차장 입구 앞,3.3
동부-대인-대인-172,광주광역시,동구,35.1524316247,126.9115391051,광주광역시 동구 금남로166,구|동구중독관리센터 앞(이전),3.3
동부-대인-대인-173,광주광역시,동구,35.1529021124,126.9116318814,광주광역시 동구 금남로163,카페 메가 앞,3.1
동부-대인-대인-174,광주광역시,동구,35.1522095674,126.9128251,광주광역시 동구 금남로177,로머스파크 모델하우스 옆,3.5
동부-대인-대인-175,광주광역시,동구,35.15188111,126.9123191731,광주광역시 동구 금남로176,우리은행 앞,3.6
동부-대인-대인-176,광주광역시,동구,35.1513794135,126.9138421594,광주광역시 동구 금남로189,하나은행 앞,3.2
동부-대인-대인-177,광주광역시,동구,35.1513358629,126.9140311,광주광역시 동구 금남로193-1,로또복권판매점 앞,3.0
동부-대인-대인-178,광주광역시,동구,35.1532746188,126.9100671,광주광역시 동구 금남로148,에이원타워 앞,3.3
동부-대인-대인-179,광주광역시,동구,35.1474235264,126.9169483599,광주광역시 동구 충장로 94,광주 우체국,2.5
동부-대인-대인-182,광주광역시,동구,35.14937111,126.9145161,광주광역시 동구 충장로 64,충파앞 인도,3.3
동부-대인-대인-183,광주광역시,동구,35.149627228,126.9140911,광주광역시 동구 충장로58번길 2,귀금속 전문점 앞,2.2
동부-대인-대인-184,광주광역시,동구,35.150472869,126.9132721,광주광역시 동구 충장로 45-1,백조주단 앞 사거리,3.3
동부-대인-대인-185,광주광역시,동구,35.1487815488,126.9131369509,광주광역시 동구 중앙로 163,NC웨이브,3.3
동부-대인-대인-186,광주광역시,동구,35.1492649424,126.913885871,광주광역시 동구 중앙로 171,아디다스 앞,3.3
동부-대인-대인-188,광주광역시,동구,35.1496664033,126.9145321,광주광역시 동구 중앙로 177,충금지하상가 지하도입구 앞,3.3
동부-대인-대인-189,광주광역시,동구,35.15127511,126.9121331582,광주광역시 동구 구성로 168,사계절직물 앞,3.3
동부-대인-대인-191,광주광역시,동구,35.1529885596,126.9094131,광주광역시 동구 독립로 238,충장가구 앞,3.3
동부-대인-대인-192,광주광역시,동구,35.1523371948,126.9104791614,광주광역시 동구 충장로 13-1,송월타월 사거리,2.0
동부-대인-대인-209,광주광역시,동구,35.1450326548,126.9142160291,광주광역시 동구 서석로1-1,블랑드누아 앞,3.3
동부-대인-대인-210,광주광역시,동구,35.1456319069,126.9189695781,광주광역시 동구 문화전당로35,애견가족 앞,2.3
동부-대인-대인-211,광주광역시,동구,35.1452015393,126.9137918267,광주광역시 동구 천변우로405-2,구| 문화전당주유소 앞(폐업),3.3
동부-대인-대인-212,광주광역시,동구,35.1455924183,126.9146244349,광주광역시 동구 서석로7번길6-2,미니스톱 황금타운점 앞,2.1
동부-대인-대인-270,광주광역시,동구,35.1466472942,126.9179037709,광주광역시 동구 서석로 41,부흥빌딩 드롭탑 앞,3.3
동부-대인-대인-334,광주광역시,동구,35.1460605008,126.9155241,광주광역시 동구 서석로7번길6-34,대성주차장 앞,2.0
동부-대인-대인-352,광주광역시,동구,35.1490168892,126.9154234053,광주광역시 동구 충장로 71-1,와이즈파크 앞,2.3
동부-대인-대인-353,광주광역시,동구,35.1472613105,126.9180361,광주광역시 동구 충장로 101-3,T-world 앞,2.2
동부-대인-대인-354,광주광역시,동구,35.1481260093,126.9167111,광주광역시 동구 충장로 87,탑텐 앞,2.4
동부-대인-대인-355,광주광역시,동구,35.1484034738,126.916275416,광주광역시 동구 충장로 81-1,Tonymony 앞,2.0
동부-대인-대인-376,광주광역시,동구,35.15031511,126.9128193243,광주광역시 동구 충장로46번길 2,백조주단 앞 사거리,2.3
동부-대인-대인-377,광주광역시,동구,35.1526822592,126.9095791,광주광역시 동구 충장로 4,21세기 종합문구 앞,2.6
동부-대인-대인-378,광주광역시,동구,35.1512139583,126.9121331582,광주광역시 동구 구성로 168,백광당 앞,2.4
동부-대인-대인-430,광주광역시,동구,35.14641411,126.9148892921,광주광역시 동구 서석로 7번길 12-29,수영경로당 앞,2.0
동부-대인-대인-452,광주광역시,동구,35.14472838,126.915018963,광주광역시 동구 천변우로415,구| 서남대병원 앞,3.3
동부-대인-대인-515,광주광역시,동구,35.14519111,126.9153084498,광주광역시 동구 서석로12,보네르웨딩 앞,3.3
동부-대인-대인-518,광주광역시,동구,35.1501898486,126.9119071986,광주광역시 동구 충장로46번길 16-22,충장공예갤러리 앞,2.3
동부-대인-대인-546,광주광역시,동구,35.1477614659,126.9165825797,광주광역시 동구 충장로 90,백학동산 맞은편,3.3
동부-대인-대인-548,광주광역시,동구,35.14469611,126.9164561,광주광역시 동구 문화전당로35번길27,화수목(휴업) 앞,3.3
동부-대인-대인-582,광주광역시,동구,35.1511629126,126.9108011,광주광역시 동구 충장로 22-7,흰돌교회 앞,3.3
동부-대인-동부-1,광주광역시,동구,35.1519482623,126.9179990843,광주광역시 동구 제봉로 171,한미쇼핑 사거리 중앙구내이발 앞,3.3
동부-대인-동부-5,광주광역시,동구,35.1509288055,126.9186410183,광주광역시 동구 제봉로 167,편한마음한의원 건너편 인도,3.1
동부-대인-동부-6,광주광역시,동구,35.14886856,126.9235198935,광주광역시 동구 장동로 11,새벽달 본점 사거리 앞,3.1
동부-대인-동부-11,광주광역시,동구,35.1528603639,126.9296346053,광주광역시 동구 필문대로206번길 12-1,바로티나 미용실 앞,3.1
동부-대인-동부-12,광주광역시,동구,35.1553156446,126.9321192289,광주광역시 동구 필문대로 173,필문대로 3차로상-광주교대 방향,3.0
동부-대인-동부-13,광주광역시,동구,35.154153859,126.9243218395,광주광역시 동구 경양로321번길 2-1,산수실포 앞,3.0
동부-대인-동부-25,광주광역시,동구,35.14674759,126.9172314364,광주광역시 동구 충장로안길 42,반이비인후과 앞,3.1
동부-대인-동부-26,광주광역시,동구,35.1503805827,126.9108068061,광주광역시 동구 독립로226번길 31,명성사 광성재료 앞,3.3
동부-대인-동부-30,광주광역시,동구,35.1453906131,126.9172668,광주광역시 동구 문화전당로35번길 18-1,구시청 사거리 중간지점,3.3
동부-대인-동부-31,광주광역시,동구,35.1466028218,126.9185191237,광주광역시 동구 서석로 46,365문화전당약국 앞 횡단보도(도로 중간),3.3
동부-대인-동부-32,광주광역시,동구,35.1469155857,126.9199944815,광주광역시 동구 문화전당로 38,국립아시아문화전당 안내소 앞,3.3
동부-대인-동부-52,광주광역시,동구,35.1475908389,126.9234096065,광주광역시 동구 제봉로110번길 10,아시아문화전당 외곽주차장 입구 좌측,3.3
동부-대인-동부-53,광주광역시,동구,35.14852905,126.9222360701,광주광역시 동구 제봉로 114,정이주가앞,3.3
동부-대인-동부-54,광주광역시,동구,35.1491761533,126.9222779905,광주광역시 동구 제봉로 122,장동교차로 로타리 카페 앞,3.3
동부-대인-동부-55,광주광역시,동구,35.15210342,126.9183204225,광주광역시 동구 제봉로 170,한미쇼핑 사거리 청자다방 앞,3.3
동부-대인-동부-56,광주광역시,동구,35.1511891632,126.9192429,광주광역시 동구 제봉로 157,KT 앞 육교 건너편,3.3
동부-대인-동부-57,광주광역시,동구,35.1519624128,126.9178646307,광주광역시 동구 중앙로 218-1,한미쇼핑 사거리 중앙구내이발 앞,3.3
동부-대인-동부-58,광주광역시,동구,35.150530093,126.9184463991,광주광역시 동구 예술길15번길 4,편한마음한의원 옆 주차장 앞,3.3
동부-대인-동부-59,광주광역시,동구,35.15034485,126.9229146756,광주광역시 동구 동계천로 118-1,동명청과 앞,3.3
동부-대인-동부-60,광주광역시,동구,35.154505247,126.9277803915,광주광역시 동구 산수길 7,산수도서관 인근,3.3
동부-대인-동부-61,광주광역시,동구,35.1548038734,126.9315160274,광주광역시 동구 무등로 474,산수오거리 거북당 앞,3.3
동부-대인-동부-66,광주광역시,동구,35.15700531,126.9311575559,광주광역시 동구 무등로449번길 8-21,롯데가스보일러 앞,3.3
동부-대인-동부-68,광주광역시,동구,35.1595822533,126.9305675662,광주광역시 동구 필문대로 124,하늘의원 앞,3.3
동부-대인-동부-74,광주광역시,동구,35.1589288565,126.9277897624,광주광역시 동구 무등로415번길 2,신일장식 앞,3.3
동부-대인-동부-75,광주광역시,동구,35.1552457153,126.9315074258,광주광역시 동구 필문대로 174,산수오거리 유림약국 앞,3.3
동부-대인-동부-76,광주광역시,동구,35.15597153,126.9319332005,광주광역시 동구 필문대로 165,㈜정민 앞,3.3
동부-대인-동부-77,광주광역시,동구,35.1582098234,126.9314827709,광주광역시 동구 필문대로 141-1,코스마 가구할인매장 앞,3.3
동부-대인-동부-79,광주광역시,동구,35.1555397184,126.9224701,광주광역시 동구 계림로20번길 2,머리하는 날 앞,3.0
동부-대인-동부-80,광주광역시,동구,35.1543556425,126.9241104,광주광역시 동구 경양로321번길 6,천대보살 앞(구| 위생마트건너),3.3
동부-대인-동부-82,광주광역시,동구,35.15431595,126.9227220661,광주광역시 동구 경양로 306,동명흑염소 앞| 신성하이슈퍼 옆,3.0
동부-대인-동부-83,광주광역시,동구,35.15371704,126.9240036,광주광역시 동구 동계로15번길 8,,3.0
동부-대인-동부-84,광주광역시,동구,35.15386581,126.924345205,광주광역시 동구 경양로 322,CU앞,3.3
동부-대인-동부-94,광주광역시,동구,35.1549059551,126.9298477,광주광역시 동구 경양로371번길 10,,3.0
동부-대인-동부-95,광주광역시,동구,35.15667725,126.9268892936,광주광역시 동구 산수길25번길 6-12,보헤미안 빌라 D동 앞 골목,3.0
동부-대인-동부-101,광주광역시,동구,35.14572906,126.9188849433,광주광역시 동구 문화전당로 35-1,금성빌딩 앞,3.0
동부-대인-동부-130,광주광역시,동구,35.1523748628,126.9202749192,광주광역시 동구 제봉로158번길 13,평장사 건너편,3.0
동부-대인-동부-146,광주광역시,동구,35.1493833087,126.9202322937,광주광역시 동구 예술길 33,동부경찰서 정문 옆(더치앤더치 맞은편),3.0
